Typ,Tema,Deltagare,Arrangor
,Barn och ungdom,"Annika Nasiell, Katarina von Bredow, Katerina Janouch","Lava förlag, Rabén & Sjögren, Kulturrådet"
Scenprogram,Barn och ungdom / Samhälle och debatt,Sofi Oksanen,Albert Bonniers Förlag
"Monterprogram, Scenprogram",Bibliotek / Historia,Fredrik Elgh,Umeå universitet
,,"Catharina Ingeman-Sundberg, Theresa Kochenhauer",I samarbete med Bokförlaget Forum
,Fantasy och science fiction / Serier,,Ordfront förlag
Scenprogram,Samhälle och debatt,Mattias Gardell,Författarcentrum och Sveriges Författarförbund
Scenprogram,Samhälle och debatt,"Axelina Larsson, Britt-Marie Klang, Lena Martinsson, Mikaela Klang",BLLF Sweden
Monterprogram,,"Marika Tandefelt, Wivan Nygård-Fagerudd",Svenska litteratursällskapet i Finland
,Livsåskådning / Populärvetenskap,"Mats Warstedt, Olle Häggström, Sara Blom, Ulrika Björkstén",Cusanus och Se människan/Svenska kyrkan
,Hälsa och livsstil,Kristina Ahlström,MI Migrän info /MIAB förlag
,Barn och ungdom,"Flora Wiström, Nellie Berntsson, Ulrika Caperius",Bonnier Carlsen
Scenprogram,,Lena Carlsson,Selma Lagerlöf-sällskapet
Monterprogram,,,Albert Bonniers Förlag
,,"Sara Nyström, Viveca Lärn",Wahlström & Widstrand
,Samhälle och debatt,"Anders Sjöqvist, Elaine Eksvärd",I samarbete med Bokförlaget Forum
,Skola,Tomas Dalström,Lärarnas Riksförbund
Monterprogram,,,Studieförbundet Vuxenskolan
Monterprogram,Barn och ungdom,,Bonnier Carlsen
,Memoarer och biografier,"Marthina Elmqvist, Ulrika Jannert Kallenberg",Hoi förlag
,Hälsa och livsstil,,Natur & Kultur
Scenprogram,Deckare / Samhälle och debatt,"Jan Arnald (Arne Dahl), Ulf Sjögren","Se människan, Albert Bonniers Förlag"
,Hälsa och livsstil,"Andreas Ekström, Cecilia Hagen, Erik Sidenbladh, Josefine Sundström",Bonnier Fakta
,Hälsa och livsstil / Memoarer och biografier,"Ann Westin, Anna-Lena Brundin, Sanna Bråding",Lava Förlag och Bladh by Bladh
Monterprogram,Barn och ungdom / Bibliotek / Fantasy och science fiction / Historia / Skola,,Roslagstext
Monterprogram,Barn och ungdom / Bibliotek / Fantasy och science fiction / Historia / Skola,,Roslagstext
,Barn och ungdom,Malin Eriksson,"Opal, Kulturrådet"
,Memoarer och biografier,"Carolina Klüft, Malcolm Dixelius",Norstedts
"Monterprogram, Scenprogram",Historia / Livsåskådning / Samhälle och debatt,Andreas Johansson,Timbro
Monterprogram,,,Norstedts
Scenprogram,Hälsa och livsstil / Samhälle och debatt,"Emmy Karnerud, Mårten Edh (Promoe), Ylva Zetterlund",Emmaus Björkå
,,"Christian Manfred, Kristian Lundberg",I samarbete med Wahlström & Widstrand
Scenprogram,Deckare,Henrik Tord,Författarcentrum och Sveriges Författarförbund
,,"Bengt Ohlsson, Carin Hjulström",Bokförlaget Forum och Albert Bonniers förlag
"Monterprogram, Scenprogram",Historia / Samhälle och debatt,Torbjörn Andersson,Malmö högskola
Monterprogram,Memoarer och biografier,"Sofia Torvalds, Wivan Nygård-Fagerudd",Schildts & Söderströms
Monterprogram,Memoarer och biografier,,Wahlström & Widstrand
Monterprogram,Memoarer och biografier,,Albert Bonniers Förlag
,,,Norstedts
,,"Daniel Sandström, Sofi Oksanen",Albert Bonniers förlag
Monterprogram,,Karin Wahlberg,Studieförbundet Vuxenskolan
,Hälsa och livsstil,Anna Bennich Karlstedt,Psykologiguiden
Monterprogram,,,Eksjö Bokhandel
,Memoarer och biografier,Jörgen Ovesen,Fri Tanke förlag
Scenprogram,Hälsa och livsstil / Livsåskådning / Samhälle och debatt,"Bob Hansson, Dan-Erik Sahlberg","Se människan, Ordfront förlag"
,Barn och ungdom,"Ingrid Remvall, Louise Lindén, Sissa Pages","Fri Tanke förlag, Kulturrådet"
Scenprogram,Hälsa och livsstil / Samhälle och debatt,"Anita Lilja-Stenholm, Ewa Thalén Finné, Ianthe Holmberg",Fistulasjukhuset
"Monterprogram, Scenprogram",Bibliotek / Historia / Skola,"Anders Houltz, Anders Johnson",Centrum för Näringslivshistoria
Scenprogram,Samhälle och debatt / Yttrandefrihet,"Afrah Nasser, Ami Hedenborg, Khaled Alesmael",Amnesty
Scenprogram,Deckare,Ingrid Elfberg,Författarcentrum och Sveriges Författarförbund
,Hälsa och livsstil / Memoarer och biografier,"Ola Skinnarmo, Renata Chlumska",Bokförlaget Max Ström
Monterprogram,,"Claes Andersson, Katarina Gäddnäs",Förlaget
,Skola,Eva-Lisa Andersson,Lärarnas Riksförbund forum för yrkesämnen
,Barn och ungdom,Pernilla Stalfelt,I samarbete med Unga Lava
Monterprogram,,,Studieförbundet Vuxenskolan
Monterprogram,Memoarer och biografier,,Bonnier Fakta
Monterprogram,Memoarer och biografier,,Albert Bonniers Förlag
Monterprogram,Deckare,,Wahlström & Widstrand
,Memoarer och biografier,Jonas Gardell,Norstedts
,,Ellen Mattsson,Albert Bonniers förlag
,Hälsa och livsstil,"Ann Frisén, Sofia Berne",Natur & Kultur
Scenprogram,Barn och ungdom / Samhälle och debatt,"Elaine Eksvärd, Kicki Byström","Se människan, Forum"
,Serier,"Ika Johannesson, Jonas Ellerström, Mats Johnson, Åsa Oskarsson Deutgen",Kartago
,Memoarer och biografier,"Björn af Kleen, Thorsten Flinck",Bookmark förlag
,Barn och ungdom,"Alfred Tobiasson, Frida Hyvönen, Lotta Olsson, Ninna Tersman","Riksteatern, Kulturrådet"
,Samhälle och debatt,"Ebba Kleberg von Sydow, Gunilla Ander, Jennie Johansson, Jenny Lantz, Johanna Nilsson",Ordfront förlag och Bokförlaget Atlas
,Fantasy och science fiction,"Helena Dahlgren, Kjartan Yngvi Björnsson, Maria Turtschaninoff, Siri Pettersen, Snæbjörn Brynjarsson","B. Wahlströms, Förlaget, Berghs Förlag och Icelandic Literature Center"
Scenprogram,Samhälle och debatt,"Erik de la Reguera, Jenny Enarsson, Snadra Eriksson",Diakonia och studieförbundet Bilda
Scenprogram,Historia,"Ewa Stackelberg, Ingela Bendt",Författarcentrum och Sveriges Författarförbund
,Historia,Linda Maria Thompson,I samarbete med Teg-publishing
"Monterprogram, Scenprogram",Bibliotek / Historia / Skola,Håkan Wallander,Bokförlaget Langenskiöld
Scenprogram,Hälsa och livsstil,"Björn Linell, Carl Gyllenhammar, Lena Andersson, Poul Perris",Natur & Kultur
Monterprogram,Deckare,,Wahlström & Widstrand
Monterprogram,Samhälle och debatt,,Wahlström & Widstrand
Monterprogram,Barn och ungdom,Vanna Rosenberg,Eksjö Bokhandel
Scenprogram,Livsåskådning / Samhälle och debatt,"Anders Wejryd, Björn Wiman, Ingrid Elam","Se människan, Verbum"
,,"Daniel Möller, Niklas Schiöler, Niklas Schiöler",Kultur i Väst
Scenprogram,Samhälle och debatt,"Artur Szulc, Jörgen Knudtzon",Samfundet Sverige - Israel
Scenprogram,,Charlotta von Zweigbergk,Författarcentrum och Sveriges Författarförbund
"Monterprogram, Scenprogram",Historia / Samhälle och debatt / Yttrandefrihet,Ingrid Holmquist,Göteborgs universitet
Scenprogram,,Maith Håkansson,Författarcentrum och Sveriges Författarförbund
Scenprogram,Livsåskådning / Samhälle och debatt,"Sara Blom, Sofi Oksanen","Se människan, Albert Bonniers Förlag"
Scenprogram,,Ann-Marie Ljungberg,Författarcentrum och Sveriges Författarförbund
"Monterprogram, Scenprogram",Bibliotek / Historia / Livsåskådning,"Elisabet Björklund, Mariah Larsson",Linnéuniversitetet
Scenprogram,Hälsa och livsstil,Eva Sanner,Författarcentrum och Sveriges Författarförbund
Scenprogram,Livsåskådning / Samhälle och debatt,"Mikael Ringlander, Viveca Lärn","Se människan, Wahlström och Widstrand"
Scenprogram,Historia / Samhälle och debatt,Jan Guillou,Piratförlaget
